dataset,architecture,window_size,filter,train_mse,train_std,val_mse,val_std
ethernet_traffic,lstm_vanilla_windowed,1,sma,0.28601420444302283,0.018224350808559355,0.7530519919099911,0.025377130156452828
ethernet_traffic,lstm_vanilla_windowed,2,sma,0.22347352744690582,0.009808015543605135,0.5684476817581168,0.020090687859673592
ethernet_traffic,lstm_vanilla_windowed,4,sma,0.21749053664254997,0.022450779913750843,0.7542659399755949,0.015674515272980857
ethernet_traffic,lstm_vanilla_windowed,8,sma,0.1533091841237539,0.017154458400248887,0.6875413674987048,0.017404625904037605
ethernet_traffic,lstm_vanilla_windowed,16,sma,0.08623351877136758,0.015433736144409684,0.7340105107781312,0.02591108106044999
ethernet_traffic,lstm_vanilla_windowed,32,sma,0.030293559698748668,0.002978453753341115,0.5827244479851929,0.01520826686684839
ethernet_traffic,lstm_vanilla_windowed,64,sma,0.00652013495422771,0.0008014804335081618,0.4587458416774397,0.006992541030659947
ethernet_traffic,lstm_vanilla_windowed,128,sma,0.002282787031573387,0.0015285513397225658,0.3122417592352761,0.0038318124184967485
ethernet_traffic,lstm_vanilla_stateless_windowed,1,sma,0.8606197254876659,4.909347326020156e-05,0.5862478405237198,0.0005621202593975929
ethernet_traffic,lstm_vanilla_stateless_windowed,2,sma,0.7648859831330774,0.0010419551997206812,0.5571754157543183,0.0018990983909892595
ethernet_traffic,lstm_vanilla_stateless_windowed,4,sma,0.7281488053148909,0.00318938546875723,0.5447346866130829,0.0027862137239479715
ethernet_traffic,lstm_vanilla_stateless_windowed,8,sma,0.5908171942804468,0.008157068615279024,0.5400038152933121,0.005381130807795734
ethernet_traffic,lstm_vanilla_stateless_windowed,16,sma,0.4341817323503824,0.00935038645348901,0.5909057348966599,0.010800865178793284
ethernet_traffic,lstm_vanilla_stateless_windowed,32,sma,0.4094292555801097,0.00575786919524711,0.6106556057929993,0.01405658621065698
ethernet_traffic,lstm_vanilla_stateless_windowed,64,sma,0.6346726469129149,0.13727839135615444,0.42085291296243665,0.028916606255920567
ethernet_traffic,lstm_vanilla_stateless_windowed,128,sma,0.4476402115500616,0.01119545181625284,0.3723390355706215,0.022411433888379653
total_sunspots,lstm_vanilla_windowed,1,sma,0.0006698045177128962,1.7322620996015354e-05,0.001021641724518333,0.00013024633972571724
total_sunspots,lstm_vanilla_windowed,2,sma,0.0007214206747395409,6.982932100167349e-06,0.0011754884605938004,8.163428835517842e-05
total_sunspots,lstm_vanilla_windowed,4,sma,0.0007387140667896895,7.071602508236189e-05,0.0009441436351922532,0.00020021475537565777
total_sunspots,lstm_vanilla_windowed,8,sma,0.0007956825089844341,0.0003698737961090469,0.0011983882415202182,0.00010438405799823251
total_sunspots,lstm_vanilla_windowed,16,sma,0.0008543998910874329,0.00010737953560668279,0.003259310601622819,0.0006664446762876747
total_sunspots,lstm_vanilla_windowed,32,sma,0.0014528107197824209,0.0011337375033581424,0.006330634825186983,0.0017939117394498289
total_sunspots,lstm_vanilla_windowed,64,sma,0.0007977062102431192,0.00023301891753778117,0.007412378225737955,0.0006826883872270952
total_sunspots,lstm_vanilla_windowed,128,sma,0.0043535127617068455,0.0014968693985462406,0.08078371019482483,0.020535627214760172
total_sunspots,lstm_vanilla_stateless_windowed,1,sma,0.004609446236064537,7.350345364080339e-06,0.009730366431176663,5.423394537262458e-05
total_sunspots,lstm_vanilla_stateless_windowed,2,sma,0.009162412929558375,0.00010949926907145482,0.01586579638533294,0.0003053132319707099
total_sunspots,lstm_vanilla_stateless_windowed,4,sma,0.003480260155267453,6.68835516776058e-05,0.004361492441967129,0.00024968646724816095
total_sunspots,lstm_vanilla_stateless_windowed,8,sma,0.0038697230405251534,0.0001343819428760515,0.004934745375066996,0.0004637084798257768
total_sunspots,lstm_vanilla_stateless_windowed,16,sma,0.0033684111497778854,0.00016806040016466642,0.005240806075744331,0.0004189545464652929
total_sunspots,lstm_vanilla_stateless_windowed,32,sma,0.003907366582010125,8.466162250661667e-05,0.00670149337965995,0.0003843492223115106
total_sunspots,lstm_vanilla_stateless_windowed,64,sma,0.004160524270140585,0.00014096727046385244,0.007344990642741323,0.0004418481722004147
total_sunspots,lstm_vanilla_stateless_windowed,128,sma,0.0043326087680944396,0.0002384964479561253,0.006957072112709284,0.00040411212394815836
etth1,lstm_vanilla_windowed,1,sma,0.013241629305137803,0.0002543294391356288,0.00644637772269336,0.0005396618524760033
etth1,lstm_vanilla_windowed,2,sma,0.012910881297454466,9.330701821090142e-05,0.007233827693878496,0.0011350889273473333
etth1,lstm_vanilla_windowed,4,sma,0.012069721994112674,0.0002527988881304745,0.006260254642769627,0.0003184279162854358
etth1,lstm_vanilla_windowed,8,sma,0.011609096507710049,0.00023135086708951123,0.006088494245434848,0.00019723627587038236
etth1,lstm_vanilla_windowed,16,sma,0.01083646225377059,0.0003048174850160765,0.006251323913474355,0.00020352641798677344
etth1,lstm_vanilla_windowed,32,sma,0.011936046625429117,0.0009131557571522128,0.09353602506965111,0.02401753517922059
etth1,lstm_vanilla_windowed,64,sma,0.02989942188449941,0.0038976238988375753,0.02846476371986839,0.017587503191891743
etth1,lstm_vanilla_windowed,128,sma,0.05981781639567675,0.01234725516345576,0.10037240809290175,0.029081365438173655
etth1,lstm_vanilla_stateless_windowed,1,sma,0.014826205114739375,1.612313409857842e-05,0.005876072589308024,0.00029037496638484404
etth1,lstm_vanilla_stateless_windowed,2,sma,0.014823732020827183,4.252593474922364e-05,0.0055434538284316656,0.0005486343163281766
etth1,lstm_vanilla_stateless_windowed,4,sma,0.014875793751570606,5.752066036714015e-05,0.005615849536843598,0.0006572074504765975
etth1,lstm_vanilla_stateless_windowed,8,sma,0.014711003567790804,3.829818670780243e-05,0.005297606717795134,0.00038260858087790637
etth1,lstm_vanilla_stateless_windowed,16,sma,0.014255032635809805,0.00011221347299750269,0.005548780458047986,0.00039493264503548506
etth1,lstm_vanilla_stateless_windowed,32,sma,0.013614221900665377,7.197948746078834e-05,0.005636176094412804,0.000665175696746634
etth1,lstm_vanilla_stateless_windowed,64,sma,0.013394663693346482,7.80580972809569e-05,0.005956456111744046,0.0005720376487163025
etth1,lstm_vanilla_stateless_windowed,128,sma,0.012986848172147403,8.251647951026466e-05,0.005954162101261318,0.0006623226581486703
exchange_rate,lstm_vanilla_windowed,1,sma,0.005203111433311039,0.002683439855375728,0.0021791833708953135,0.0005438390784425562
exchange_rate,lstm_vanilla_windowed,2,sma,0.004463352022177824,7.075142881632888e-05,0.002618014933885744,3.51164056253765e-05
exchange_rate,lstm_vanilla_windowed,4,sma,0.004434044585242404,8.861742034036048e-05,0.0018006108105190859,8.774841061607013e-06
exchange_rate,lstm_vanilla_windowed,8,sma,0.004757917808003201,0.0001954064088357303,0.00196507858363314,0.00016574688155457712
exchange_rate,lstm_vanilla_windowed,16,sma,0.00410431836963903,0.00012975576454075263,0.001968284673441397,0.00011382719188995172
exchange_rate,lstm_vanilla_windowed,32,sma,0.003979394330731019,0.0004452341516316527,0.002256284753877668,0.00021329209014790286
