scenario,signal,seed,auc,spearman,det_lag,miss_rate,regime_gap
periodic_noise_switch,ewacf_max,2,0.9850446408936974,0.8395903143648591,12.0,0.0,0.43593292749424134
periodic_noise_switch,mi_knn,2,0.8556211255411255,0.6159623119596438,39.0,0.0,0.2921884994321857
periodic_noise_switch,ks_shift,2,0.5747993415035668,0.12990515373143893,65.0,0.2857142857142857,0.005569953051643192
periodic_noise_switch,ewacf_mean,3,0.9902776301569605,0.8487353969411753,9.0,0.0,0.36488320910128663
periodic_noise_switch,ewacf_max,3,0.9874342647641547,0.8438131555275925,6.0,0.0,0.439399482444703
periodic_noise_switch,mi_knn,3,0.8552344543796839,0.6152196570423103,80.0,0.0,0.29622061300892116
periodic_noise_switch,ks_shift,3,0.5755341357090978,0.1310973302366089,117.0,0.42857142857142855,0.007696722140920348
periodic_noise_switch,ewacf_mean,4,0.990430446699602,0.8466132900843493,8.0,0.0,0.36705350016222754
periodic_noise_switch,ewacf_max,4,0.9894100919102644,0.8448518865437089,9.0,0.0,0.43373098931642645
periodic_noise_switch,mi_knn,4,0.8754876909264734,0.6499744578368544,47.0,0.0,0.3192506049693129
periodic_noise_switch,ks_shift,4,0.5342454045060343,0.05953667356971138,64.0,0.2857142857142857,0.0030016949081553834
seasonal_ar_switch,ewacf_mean,0,0.9620125270677757,0.797112206558514,17.0,0.0,0.22193571905073106
seasonal_ar_switch,ewacf_max,0,0.9783321190779756,0.8252684690346964,2.0,0.0,0.5371121012219178
seasonal_ar_switch,mi_knn,0,0.8934176934176934,0.6808176436332256,32.0,0.0,0.2756143540625723
seasonal_ar_switch,ks_shift,0,0.3579370762216507,-0.24624026881492295,47.0,0.5714285714285714,-0.030506975294209343
seasonal_ar_switch,ewacf_mean,1,0.9676691438069481,0.8091658394926936,15.0,0.14285714285714285,0.251812040511718
seasonal_ar_switch,ewacf_max,1,0.975735445040085,0.8231222347249745,5.0,0.0,0.5167862446433251
seasonal_ar_switch,mi_knn,1,0.8450290041894941,0.5946789856051556,40.0,0.0,0.22805984342347652
seasonal_ar_switch,ks_shift,1,0.362736997661219,-0.2359496980131846,45.0,0.5714285714285714,-0.022745437317183703
seasonal_ar_switch,ewacf_mean,2,0.9694644977663845,0.8126217919966477,25.0,0.0,0.24406284602968165
seasonal_ar_switch,ewacf_max,2,0.9778411525581336,0.8271214023685515,3.0,0.0,0.5379614238509551
seasonal_ar_switch,mi_knn,2,0.7958836363636363,0.5124748425927892,55.0,0.2857142857142857,0.19738693595721268
seasonal_ar_switch,ks_shift,2,0.3733952807755625,-0.21927292902842202,66.0,0.42857142857142855,-0.034317370892018806
seasonal_ar_switch,ewacf_mean,3,0.9780254792274268,0.8275253038369236,22.5,0.14285714285714285,0.24867886211199253
seasonal_ar_switch,ewacf_max,3,0.9818719123692676,0.8341839881387197,3.0,0.0,0.5537549620688026
seasonal_ar_switch,mi_knn,3,0.8317517488727608,0.5745506795535631,63.5,0.14285714285714285,0.2207117879081134
seasonal_ar_switch,ks_shift,3,0.4149721350410531,-0.1472609963848678,91.0,0.5714285714285714,-0.011917523507689515
seasonal_ar_switch,ewacf_mean,4,0.9550927656137909,0.7856110610604937,19.5,0.14285714285714285,0.24428359977556036
seasonal_ar_switch,ewacf_max,4,0.9719465604972095,0.8147051902121295,3.0,0.0,0.5159214747286579
seasonal_ar_switch,mi_knn,4,0.8536974370623193,0.6122582691357706,79.0,0.2857142857142857,0.25941541950804914
seasonal_ar_switch,ks_shift,4,0.3332481544825845,-0.2889902539794756,69.0,0.42857142857142855,-0.027556785169977338
